Проект,Категории,Цена,Заявки 
Написать отзыв,Копирайтинг,Нет цены,14 заявок
Правки по ТЗ,Веб-программирование,Нет цены,10 заявок
Музыка ВК через анонимайзер,Веб-программирование,Нет цены,1 заявка
Реальные подписчики для группы в вк. Тематика Кино и комиксы,Социальные сети (SMM и SMO),Нет цены,7 заявок
Требуется разработчик сайта-визитки для Бара-Кальянной,Веб-программирование,Нет цены,5 заявок
Переверстка сайта,HTML-верстка,Нет цены,13 заявок
Наружная реклама. Баннеры,Баннеры,Нет цены,8 заявок
Визуализация. Внести правки,Дизайн сайтов,Нет цены,3 заявки
Устранение ошибки OpenCart 1.5,Интернет-магазины,$10,4 заявки
Создать сайт-каталог на вордпрес и поместить на хостинг,Веб-программирование,$20,3 заявки
Создание базы данных,Базы данных,Нет цены,7 заявок
Сделать таблицу в MODX красиво на мобильных,HTML-верстка,Нет цены,7 заявок
Разработка ТЗ для сервиса,Управление проектами,$750,2 заявки
Слайдер для сайта на Joomla,Системы управления (CMS),Нет цены,6 заявок
Доработка сайта на Wordpress (Woocommerce),Системы управления (CMS),Нет цены,3 заявки
Разработать сайт электронное ОСАГО,Веб-программирование,Нет цены,2 заявки
Написать 7 небольших текстов на тему Электробайки до завтра!,Рерайтинг,Нет цены,4 заявки
Требуется верстальщик HTML для работы над редизайном - срочно,HTML-верстка,$100,15 заявок
Найти личного помощника на удаленку через бесплатны сервисы и соц сети,Подбор персонала (HR),Нет цены,5 заявок
Написать статью по дизайну,Копирайтинг,Нет цены,12 заявок
Сделать рерайт текста,Рерайтинг,Нет цены,8 заявок
Создание Landing Page+копирайтинг+контекстная реклама,Сайты «под ключ»,Нет цены,9 заявок
Организация и продвижение онлайн-марафона в социальных сетях,Социальные сети (SMM и SMO),Нет цены,2 заявки
Написать две статьи,Копирайтинг,$6,11 заявок
Расшифровка видео,Транскрибация,Нет цены,21 заявка
Отрисовка изображений по фото и рисункам,Иллюстрации и Рисунки,Нет цены,46 заявок
Макет для типографии,Дизайн продукции,$4,5 заявок
Доработка сайта на InstantCMS - написание модулей + работа с шаблоном,Веб-программирование,Нет цены,2 заявки
Требуется выгрузить данные из ЗУП 2.5 в КА 2.2 Конфигурации не изменен,1С-программирование,Нет цены,1 заявка
Разместить отзыв на flamp,Наполнение сайтов,$1,1 заявка
Сделать api интеграцию,Веб-программирование,Нет цены,7 заявок
Сделать api интеграцию,Веб-программирование,Нет цены,2 заявки
Автоматизация отправки формы,Веб-программирование,Нет цены,6 заявок
Внести доработки на сайт. CMS WordPress,Системы управления (CMS),Нет цены,4 заявки
Веб-дизайн сайта по продаже зонтов,Дизайн сайтов,$200,5 заявок
Доработать страницу сайта на Битрикс,Веб-программирование,Нет цены,2 заявки
Калькулятор страхования для Woorpress,Веб-программирование,Нет цены,2 заявки
Собрать/ Сформировать команду freelance авторов для удаленного ведения,Редактирование и Корректура,Нет цены,1 заявка
Необходимо написать 8 статей на тему ухода за младенцем,Копирайтинг,Нет цены,12 заявок
Проектирование пандуса металлического для инвалидов,Архитектура зданий,Нет цены,5 заявок
Создать семантическое ядро по высокочастотному запросу,Поисковые системы (SEO),Нет цены,11 заявок
"Скопировать шаблон, MODX",Системы управления (CMS),Нет цены,7 заявок
"Статья на тему ""Венолайф при геморрое""",Копирайтинг,Нет цены,нет заявок
Необходимо помочь создать рассылку по базе данных,Управление проектами,Нет цены,2 заявки
Оптимизация для мобильнывх устройств (программа минимум),Веб-программирование,$50,4 заявки
Разместить рекламу в Google Adwords,Контекстная реклама,Нет цены,25 заявок
Нужно разработать лендинг,Сайты «под ключ»,Нет цены,50 заявок
Написание статей,Копирайтинг,Нет цены,6 заявок
Установка/настройка шаблона интер-магаз. на CMS Presta Shop,Системы управления (CMS),Нет цены,2 заявки
Отрисовать логотип,Логотипы и Знаки,Нет цены,26 заявок
Логотип для сайта производственной компании,Логотипы и Знаки,Нет цены,32 заявки
"Скрипт для интернет-магазина, обновления цен",Веб-программирование,Нет цены,9 заявок
Рерайт,Рерайтинг,Нет цены,23 заявки
Необходима закупка ссылок и постинг по форумам для интернет магазина.,Поисковые системы (SEO),Нет цены,11 заявок
Рассылка письма в личку участникам групп в ВК.,Управление проектами,$5,3 заявки
Нужен опытный вебразработчик для создания контент портала,Веб-программирование,Нет цены,6 заявок
Нужен личный кабинет для сайта на hostcms,Веб-программирование,Нет цены,3 заявки
Ecommerce на JOOMLA,Системы управления (CMS),Нет цены,4 заявки
Верстка + Битрикс,HTML-верстка,Нет цены,8 заявок
Максимально упрощенный движок для сайта знакомств,Системы управления (CMS),$1000,10 заявок
Приложение для магазина.,ПО для мобильных устройств,Нет цены,6 заявок
Генератор файла импорта excel для wordpress WP ALL IMPORT,Веб-программирование,Нет цены,4 заявки
Страницу-заглушку с паролем,Веб-программирование,Нет цены,2 заявки
Настроить шаблон ВП,Системы управления (CMS),Нет цены,8 заявок
Работа с Google drive (диск),Веб-программирование,Нет цены,4 заявки
"Разработка логотипа для компании ""На все времена""",Логотипы и Знаки,Нет цены,30 заявок
Оптимизировать сайт Alemir.by для поиска и продвинуть его,Поисковые системы (SEO),$100,16 заявок
Написать Стишок-Пирожок,"Стихи, Песни и Проза",Нет цены,10 заявок
"Написание пары десятков текстов на тематику ""Медицинский туризм в США""",Копирайтинг,$1,13 заявок
Автоматическое создание страницы с вики-разметкой,Веб-программирование,Нет цены,1 заявка
Необходимо реализовать торгового бота на бирже poloniex.com по API.,Веб-программирование,Нет цены,2 заявки
Создание сайта для ставок на кибер-спорт.,Сайты «под ключ»,Нет цены,5 заявок
Доработки для торгового бота,Веб-программирование,Нет цены,3 заявки
"Сделать видео-инструкцию по использованию мобильного приложения,",Видеомонтаж,Нет цены,17 заявок
Создание XML шлюза и обработка информации,Веб-программирование,Нет цены,8 заявок
Доработка программы-парсера сайтов (Delphi),Прикладное ПО,Нет цены,2 заявки
Адаптивная верстка макета,HTML-верстка,Нет цены,27 заявок
Доработать сайт,Веб-программирование,Нет цены,4 заявки
Создать базу данных SQL с поиском и сортировкой,Базы данных,Нет цены,7 заявок
Нужна помощь с обновлением 1с,1С-программирование,Нет цены,5 заявок
В приложении организовать сохранение инфы в бд + отчет из такой инфы,ПО для мобильных устройств,Нет цены,3 заявки
Модуль оплаты для компонента Joomla на PHP,Веб-программирование,Нет цены,1 заявка
Логотип для интернет-магазина,Логотипы и Знаки,Нет цены,30 заявок
Переписать программу под МАС которая написана под Windows,Прикладное ПО,Нет цены,1 заявка
Создать похожую работу,Ландшафтный дизайн,Нет цены,11 заявок
Логотип и фирменный стиль интернет-магазина,Логотипы и Знаки,Нет цены,7 заявок
Настроить прием заказов JoomShoping,Интернет-магазины,$30,2 заявки
Создание сайта по доставке еды,Веб-программирование,Нет цены,15 заявок
Система статистики для агентства недвижимости,Веб-программирование,Нет цены,1 заявка
Правка шаблона Imagecms,Веб-программирование,Нет цены,1 заявка
"Корректура, дописывание + ключевики (80 статей)",Редактирование и Корректура,Нет цены,3 заявки
Сделать дизайн сайта,Дизайн сайтов,$230,28 заявок
Адаптивный сайт,HTML-верстка,Нет цены,14 заявок
Необходимо сделать блог на WordPress,Веб-программирование,Нет цены,8 заявок
Требуется дизайн логотипа,Логотипы и Знаки,Нет цены,33 заявки
SEO оптимизация,Поисковые системы (SEO),Нет цены,15 заявок
Сверстать и натянуть блог (самописаная кмс),Системы управления (CMS),Нет цены,10 заявок
Оптимизация сайта .net,Системы управления (CMS),Нет цены,2 заявки
Внедрение скриптов продаж,Веб-программирование,Нет цены,2 заявки
SMMHUNTA - СММ агентство,Системы управления (CMS),Нет цены,нет заявок
Обновление форм в 1с,Прикладное ПО,Нет цены,1 заявка
Немного работы по phpBB 3.2 (php\css\мб js для сообщений),Веб-программирование,Нет цены,2 заявки
Задачи,"Контрольные, Задачи и Тесты",Нет цены,1 заявка
Настройка RSS-ленты для Укрнет,Веб-программирование,Нет цены,3 заявки
Написать  10 статей по автомобильной тематике,Копирайтинг,Нет цены,27 заявок
"Консультация, возможно маленькие правки по слайдеру (Друпал)",Системы управления (CMS),Нет цены,1 заявка
Разместить около 100 статей на сайт,Наполнение сайтов,Нет цены,61 заявка
Редизайн сайта Битрикс,HTML-верстка,$20,3 заявки
Интернет магазин,Интернет-магазины,Нет цены,16 заявок
Нужен парсинг под Opencart,Веб-программирование,Нет цены,9 заявок
Мобильное приложение на Xamarin/Cordova браузерного типа,ПО для мобильных устройств,Нет цены,4 заявки
Аудит рекламной кампании,Контекстная реклама,$15,24 заявки
Нужен художник,Иллюстрации и Рисунки,Нет цены,9 заявок
Написать авторег аккаунтов uber,Веб-программирование,Нет цены,1 заявка
Плагин для Wordpress,Веб-программирование,Нет цены,1 заявка
Промо-ролик в Москве,Видеомонтаж,Нет цены,4 заявки
OpenCart транзакционные письма,Дизайн сайтов,Нет цены,1 заявка
Сделать лэндинг,Сайты «под ключ»,Нет цены,20 заявок
Качественная ссылочная масса для сайта на Чешском языке,Поисковые системы (SEO),Нет цены,2 заявки
Сделать сайт,Веб-программирование,Нет цены,8 заявок
Доработка страницы сайта,Веб-программирование,Нет цены,1 заявка
Простой сайт с админкой,Сайты «под ключ»,Нет цены,18 заявок
Редизайн главной страницы сайта по юридическим услугам в Москве,Дизайн сайтов,Нет цены,2 заявки
SEO-продвижение старого интернет-магазина,Поисковые системы (SEO),Нет цены,12 заявок
Верстка html шаблона для email,HTML-верстка,Нет цены,15 заявок
Увеличить позицию сайта в выдаче Google по одному ключевому слову,Поисковые системы (SEO),Нет цены,11 заявок
Нарисовать ландшафт въезда част. дома на разных уровнях и украсить дво,Ландшафтный дизайн,Нет цены,7 заявок
"Около 70 страниц ""Промышленное проектирование""",Копирайтинг,Нет цены,5 заявок
Подправить сайт на opencart,Интернет-магазины,Нет цены,4 заявки
Перенести сайт на другой движок и доработать,Системы управления (CMS),Нет цены,7 заявок
Букс,Веб-программирование,Нет цены,5 заявок
3D модель товара,3D-графика,Нет цены,32 заявки
Разработка алгоритма проверки данных вводимых пользователем,Прикладное ПО,$150,8 заявок
"Исправить косяки логотипе, перерисовать в векторе.",Логотипы и Знаки,Нет цены,15 заявок
Редизайн и верстка страниц магазина,Дизайн сайтов,Нет цены,12 заявок
Требуется нарисовать дизайн лендинга.,Дизайн сайтов,$70,28 заявок
Лендинг страница под ключ,Веб-программирование,Нет цены,8 заявок
"Написание title, meta тегов",Копирайтинг,Нет цены,4 заявки
Добавление эквайринга на сайт WordPress,Системы управления (CMS),Нет цены,4 заявки
Доработки на сайте на ModX,Интернет-магазины,Нет цены,3 заявки
Рерайтинг статьи для сайта колл-центра,Рерайтинг,Нет цены,9 заявок
Нужен эксклюзивный лого для нашей компании(ЭКСЛЮЗИВНЫЙ),Логотипы и Знаки,$10,17 заявок
Нужен специалист по гугл адвардс для работы на зарубеж,Поисковые системы (SEO),Нет цены,6 заявок
Сайт и интернет магазин.,Веб-программирование,Нет цены,3 заявки
Настроить программу Учет клиентов под Агентство,Прикладное ПО,Нет цены,4 заявки
Создания GIF баннеров форекс тематика,Баннеры,Нет цены,6 заявок
Написание текста,Копирайтинг,$2,47 заявок
Вебсайт о здоровом образе жизни,Веб-программирование,Нет цены,5 заявок
Автоматическая обработка фотографий (наложение эффектов),Прикладное ПО,Нет цены,1 заявка
Требуется пргорамма на PHP mtproto для telegram,Прикладное ПО,Нет цены,1 заявка
Поддержка интернет-магазина на wordpress,Системы управления (CMS),Нет цены,7 заявок
Нужна девушка копирайтер для написание коротких постов о красоте,Копирайтинг,Нет цены,20 заявок
Запрограммировать интернет-магазин на Python/Django,Веб-программирование,$2000,4 заявки
Логотип и дизайн наклеек на корпус для ТМ акк.батарей,Дизайн продукции,Нет цены,26 заявок
Установка и настройка почтового сервера,Системное администрирование,Нет цены,7 заявок
Обложка группы ВК,Дизайн сайтов,Нет цены,8 заявок
Переделать слайдер на лендинге,Веб-программирование,Нет цены,4 заявки
Разработка дизайна мобильной версии сайта,Дизайн мобильных приложений,Нет цены,20 заявок
Работы по Joomla.,Системы управления (CMS),Нет цены,4 заявки
Реализация несложной системы на любом PHP фреймворке - срочно,Веб-программирование,Нет цены,8 заявок
Мобильное приложение,Веб-программирование,Нет цены,7 заявок
Станица о компании,HTML-верстка,$5,13 заявок
Сделать правки на сайте на битриксе,Веб-программирование,Нет цены,2 заявки
Разработка лендинга,Веб-программирование,Нет цены,14 заявок
Сверстать ленд,HTML-верстка,Нет цены,52 заявки
Аннимирование картины художника для сайта,Анимация,Нет цены,3 заявки
Копирайтер/рерайтер,Копирайтинг,Нет цены,20 заявок
Написать статью на 2500 символов по стоительной тематики,Копирайтинг,Нет цены,7 заявок
Парсер с возможностью обходить блокировки,Веб-программирование,Нет цены,5 заявок
OPENCART натянуть дизайн,HTML-верстка,Нет цены,4 заявки
Правки на сайтах на WordPress,Веб-программирование,Нет цены,5 заявок
Правки на сайтах на 1с битрикс,Веб-программирование,Нет цены,3 заявки
Скрипт поиска по публичным записям в Facebook,Веб-программирование,Нет цены,3 заявки
Нужна помощь/консультация/обучение под проект.,Веб-программирование,Нет цены,нет заявок
Лендинг для компании по производству сувенирной продукции,Дизайн сайтов,Нет цены,11 заявок
Доработка дизайна лендинга,Дизайн сайтов,Нет цены,14 заявок
Скрипт выбора аккумулятора на авто Simpla CMS,Веб-программирование,Нет цены,нет заявок
Дизайн интерактивного сайта,Дизайн сайтов,Нет цены,24 заявки
Нам нужна озвучка для меню,Озвучивание,Нет цены,17 заявок
"Проектирование/доработка фундамента. Обсуждение, чертежи",Чертежи и Схемы,Нет цены,5 заявок
Каталог товаров с админкой для продавцов на Yii 2 - срочно!!,Веб-программирование,Нет цены,3 заявки
Написать программу учета абонементов для Андроид,ПО для мобильных устройств,Нет цены,11 заявок
"Написать тексты тематики ""Камины и печи""",Копирайтинг,Нет цены,8 заявок
Доработка темы по недвижимости,Системы управления (CMS),Нет цены,4 заявки
Дизайн внутренних страниц приложения,Дизайн мобильных приложений,$70,13 заявок
Drupal. Изменить дизайн некоторых блоков на сайте,Веб-программирование,Нет цены,2 заявки
Drupal. 302 редирект на сайте,Веб-программирование,Нет цены,нет заявок
Доработать мобильную версию + внести правки opencart 1.5,Веб-программирование,Нет цены,1 заявка
Доработки на Битриксе,Веб-программирование,Нет цены,1 заявка
Отзывы на Я.Маркете,Копирайтинг,Нет цены,11 заявок
Написать уникальную статью по сертфикации ISO,Копирайтинг,Нет цены,3 заявки
Составить международный договор на двух языках,Юридические услуги,Нет цены,3 заявки
Дизайн сайта,Дизайн сайтов,Нет цены,33 заявки
"SEO копирайтинг. Авторазборки, автозапчасти с Allegro PL",Копирайтинг,$3,2 заявки
Дизайн сайта продаж,Дизайн сайтов,Нет цены,36 заявок
Дизайн сайта продаж,Дизайн сайтов,Нет цены,36 заявок
Интеграция Converse.js с Angular 1.5,Веб-программирование,Нет цены,нет заявок
Размножить статью по строительной тематике,Рерайтинг,Нет цены,6 заявок
Исправить сглаживание шрифта на сайте в Chrome,HTML-верстка,$5,3 заявки
HTML- верстка страницы сайта,HTML-верстка,$70,65 заявок
Английская озвучка видеоуроков по 3D моделированию,Озвучивание,Нет цены,10 заявок
Тексты на автотематику,Копирайтинг,Нет цены,7 заявок
Настройка функционала под новый дизайн сайта,Веб-программирование,Нет цены,4 заявки
Написать текст по тестовому ТЗ,Копирайтинг,$12,2 заявки
Создание одностроничника и его продвижение,Сайты «под ключ»,Нет цены,13 заявок
Копирайт международные перевозки,Копирайтинг,Нет цены,3 заявки
Для интернет магазина настроить Google Merchant Center + КМС,Контекстная реклама,Нет цены,3 заявки
Визуализация интерьеров дома,Интерьеры и Экстерьеры,Нет цены,27 заявок
Интернет магазин,Интернет-магазины,Нет цены,24 заявки
Адаптивный дизайн лендинга для лизингового брокер,Дизайн сайтов,$125,12 заявок
Разбить ролик,Видеомонтаж,Нет цены,37 заявок
Доработка сайта на БИТРИКС,Веб-программирование,$500,8 заявок
Нужен копирайтер для написания статьи. Театр кукол,Копирайтинг,$3,10 заявок
Доработки интернет магазина на 1С bitrix,Веб-программирование,Нет цены,2 заявки
Профессионально настроить РК в Директе и Adwords,Контекстная реклама,Нет цены,15 заявок
Нужно в иллюстраторе сделать макет рекламы А4,Дизайн сайтов,Нет цены,4 заявки
Транскрибация коммерческих звонков,Транскрибация,Нет цены,41 заявка
Изготовление сайта,Сайты «под ключ»,Нет цены,31 заявка
Выгрузка в excel для Opencart,Веб-программирование,Нет цены,4 заявки
Анимационный видео ролик,Анимация,Нет цены,3 заявки
Поддержка интернет-магазина на Битрикс,Веб-программирование,Нет цены,3 заявки
Создание интернет магазина женской одежды под ключ. Читаем ТЗ!!!,Интернет-магазины,Нет цены,12 заявок
Требуется визуализация интерьера,Интерьеры и Экстерьеры,Нет цены,5 заявок
Адаптивная верстка из SKETCH,HTML-верстка,Нет цены,9 заявок
Логотип транспортной компании,Логотипы и Знаки,Нет цены,26 заявок
Верстальщик для лендинга пять страниц + мобильная версия,HTML-верстка,Нет цены,54 заявки
СММ продвижение страницы в Facebook,Социальные сети (SMM и SMO),Нет цены,5 заявок
Разработка главной страницы WooCommerce дизайн+верстка,Дизайн сайтов,Нет цены,6 заявок
Написание статей на мед тематику,Копирайтинг,Нет цены,38 заявок
Нужен рерайт для сайта,Рерайтинг,Нет цены,15 заявок
SharePoint доработка,Веб-программирование,Нет цены,2 заявки
Сверстать главную страницу сайта по макету bootstrap/wordpress,HTML-верстка,Нет цены,11 заявок
Натянуть вёрстку на Wordpress,Системы управления (CMS),Нет цены,12 заявок
Натяжка верстки на сайт cms битрикс,HTML-верстка,Нет цены,нет заявок
Дизайн проект косметологического кресла,Чертежи и Схемы,Нет цены,2 заявки
Доработать приложение на Андройд,ПО для мобильных устройств,Нет цены,1 заявка
Нужна помощь с версткой письма.,HTML-верстка,Нет цены,4 заявки
Подправить верстку и устранить пару глюков на сайте. Движок MOD-X,HTML-верстка,Нет цены,5 заявок
Opencart доработка модуля отзывов,Веб-программирование,Нет цены,2 заявки
Перенести данные,Веб-программирование,Нет цены,6 заявок
Создание модуля CKFinder,Веб-программирование,$70,1 заявка
Доработка сайта на OpenCart 2.0,Системы управления (CMS),Нет цены,2 заявки
Перерисовать картинку,Иллюстрации и Рисунки,Нет цены,7 заявок
Php разработчик для доработки самописного сайта,Веб-программирование,Нет цены,10 заявок
Сделать небольшие правки в Prestashop,Веб-программирование,Нет цены,2 заявки
Изготовить макет для печати пакетов.,Верстка полиграфии,Нет цены,18 заявок
Статьи,Копирайтинг,Нет цены,9 заявок
Интеграция AmoCRM+Mailchimp,Системы управления (CMS),Нет цены,3 заявки
Разработать логотип,Логотипы и Знаки,$16,10 заявок
Дизайн упаковки продукта,Дизайн продукции,Нет цены,11 заявок
Внести правки в bitrix,Системы управления (CMS),Нет цены,2 заявки
Доработка телеграм бота,Веб-программирование,Нет цены,нет заявок
Подарочный сертификат A4,Дизайн продукции,Нет цены,18 заявок
Нужен копирайтеры для описания категории на сайте,Копирайтинг,Нет цены,2 заявки
Доработка готового сайта на Битрикс,Системы управления (CMS),Нет цены,6 заявок
Доработка готового сайта на Битрикс,Системы управления (CMS),Нет цены,6 заявок
Рерайт + размещение,Системы управления (CMS),Нет цены,2 заявки
Копирайтинг - натяжные потолки,Копирайтинг,Нет цены,18 заявок
Создать ленту для Яндекс.Дзен,Контекстная реклама,Нет цены,1 заявка
Доработка интернет магазина на PrestaShop,Веб-программирование,Нет цены,нет заявок
Срочно сделать поправки хтмл лендинг,HTML-верстка,$10,11 заявок
Сервис по накрутке,Веб-программирование,Нет цены,1 заявка
Подобрать изображений для статей + публикация статей,Наполнение сайтов,Нет цены,23 заявки
Разработка технического задания на интернет магазин.,Управление проектами,Нет цены,1 заявка
Добавить 2 формы и вывести контакты в шапке - Opencart 3.2,Системы управления (CMS),Нет цены,4 заявки
Верстка сайта на Wordpress (желательно DIVI),HTML-верстка,Нет цены,6 заявок
Необходима верстка,HTML-верстка,$300,27 заявок
Мессенджер,ПО для мобильных устройств,$1500,нет заявок
Создать дизайн вывески для хостела (наружная реклама),Наружная реклама,$20,16 заявок
Создать умный фильтр товара,Веб-программирование,Нет цены,2 заявки
Копирайт 6000 знаков,Копирайтинг,Нет цены,9 заявок
Неободимо оптимизитовать сайт по PageSpeed,Системы управления (CMS),Нет цены,9 заявок
Дизайн-проект кухни-гостинной в загородном доме,Интерьеры и Экстерьеры,Нет цены,12 заявок
Собрать небольшую базу анкет в контакте,Наполнение сайтов,Нет цены,20 заявок
Авторизация на рулетки через Wargaming.net Public API,Веб-программирование,Нет цены,нет заявок
Верстка в шаблоны django,HTML-верстка,Нет цены,2 заявки
"Установка капчи сайт Joomla 1.5.25, VirtueMart 1.1.8",Системы управления (CMS),Нет цены,2 заявки
Нарисовать заглушку к существующей странице,Дизайн сайтов,Нет цены,9 заявок
Нарисовать дизайн одностраничного сайта,Дизайн сайтов,Нет цены,42 заявки
Дизайн сайта беседок,Дизайн сайтов,$150,23 заявки
Сделать видео,Видеомонтаж,Нет цены,30 заявок
"Размещение информации в порталах, досках объявлений, форумах",Социальные сети (SMM и SMO),$50,9 заявок
Настройка Яндекс директ,Контекстная реклама,$250,26 заявок
Разработать дизайн фигур,Иллюстрации и Рисунки,Нет цены,3 заявки
Программирование ПЛИС (FPGA),Прикладное ПО,Нет цены,1 заявка
Сайт - запрос стоимости?!,Сайты «под ключ»,Нет цены,11 заявок
Верстка виджетов для сайтов,HTML-верстка,Нет цены,2 заявки
Сделать landing page,Веб-программирование,Нет цены,17 заявок
Оптимизация работы сайта,Поисковые системы (SEO),Нет цены,10 заявок
Сверстать адаптивный лендинг,HTML-верстка,Нет цены,34 заявки
Hyip проект под ключ,Сайты «под ключ»,Нет цены,2 заявки
Доработка шаблона shop script 7,Дизайн сайтов,Нет цены,нет заявок
Нужна красивая картинка для печати на футболку,Верстка полиграфии,Нет цены,4 заявки
Ассистент по рекрутинговой работе,Подбор персонала (HR),Нет цены,2 заявки
Разработка сайта дизайн+верстка+программирование,Веб-программирование,Нет цены,13 заявок
Разработка сайта дизайн+верстка+программирование,Веб-программирование,Нет цены,13 заявок
Разработка блока PHP для главной страницы форума IPS community 4.1,Веб-программирование,Нет цены,2 заявки
Разместить отзывы на тематических ресурсах,Рерайтинг,$40,27 заявок
"Почистить сайт на DLE от ошибок, и установить новый шаблон",Системы управления (CMS),$150,3 заявки
Работы по верстке и добавлению баннеров на OpenCart,HTML-верстка,Нет цены,3 заявки
Cайт записи базы данных формул потребности покупателя,Веб-программирование,Нет цены,1 заявка
Адаптивная верстка лендинга,HTML-верстка,Нет цены,35 заявок
Разработать макет папки А4 и визитки,Дизайн продукции,$15,4 заявки
CSS HTML верстка и мобильная верстка интернет магазин сантехники.,HTML-верстка,Нет цены,7 заявок
Перерисовать раст в вектор 10 изображений,Иллюстрации и Рисунки,Нет цены,10 заявок
Нарисовать пару внутренних страниц для сайта,Дизайн сайтов,Нет цены,26 заявок
Разработка дизайна листовок,Дизайн продукции,Нет цены,51 заявка
Правки в интернет магазине -  webasyst shop script 7,Веб-программирование,Нет цены,5 заявок
SEO специалист на информационный сайт,Поисковые системы (SEO),Нет цены,12 заявок
Дизайн игры под Android,Интерфейсы игр и программ,Нет цены,9 заявок
Размещение объявлений Avito.ru,Наполнение сайтов,Нет цены,38 заявок
Нужно разобрать запросы для кампании в Директе,Контекстная реклама,Нет цены,11 заявок
Видеоролик для VR,Видеомонтаж,Нет цены,5 заявок
Рерайт англоязычных статей - финансовая тематика.,Рерайтинг,Нет цены,1 заявка
Регистрация в каталогах,Поисковые системы (SEO),Нет цены,3 заявки
Верстка под WordPress,HTML-верстка,Нет цены,10 заявок
Сделать верстку второстепенных страниц,HTML-верстка,$10,25 заявок
Верстка и мелкие доработки сайта,HTML-верстка,Нет цены,7 заявок
Макрос для excel,Прикладное ПО,Нет цены,6 заявок
Правки интернет - магазина,Интернет-магазины,Нет цены,2 заявки
Разработка приложения для iOS и Android,ПО для мобильных устройств,Нет цены,7 заявок
1с 7.7,1С-программирование,Нет цены,7 заявок
Перевести аудио в текст,Транскрибация,Нет цены,56 заявок
Работа с темами WORDPRESS,Дизайн сайтов,Нет цены,5 заявок
Написать браузерное расширение,Системное администрирование,$180,1 заявка
Сделать Google AMP  страницу из HTML,HTML-верстка,Нет цены,нет заявок
Переключение UPPOD плеера с FLASH на HTML5,Веб-программирование,Нет цены,нет заявок
Редизайн Сайта,Веб-программирование,Нет цены,12 заявок
Небольшая правка верстки сайта,HTML-верстка,Нет цены,5 заявок
Перевод с русского или английского на грузинский,Переводы,Нет цены,6 заявок
Разработка логотипа и аватарки в группу ВК,Логотипы и Знаки,$15,11 заявок
Разрабока крупного модуля для самописной CMS PHP,Веб-программирование,$1100,4 заявки
Проблема с выводом заказа. Друпал.,Веб-программирование,Нет цены,3 заявки
Нарисовать рисунок и сделать из нарисованного макет коробки.,Иллюстрации и Рисунки,$180,3 заявки
Нарисовать дизайн Landing Page,Дизайн сайтов,Нет цены,26 заявок
Требуется настройка удаленого доступ к Windows Server 2008,Системное администрирование,Нет цены,5 заявок
"Нужен специалист по настройке, редактированию сайтов tiu.ru",Веб-программирование,Нет цены,2 заявки
Нужна озвучка,Озвучивание,Нет цены,29 заявок
Создание рекламных материалов,Фирменный стиль,Нет цены,13 заявок
Требуется специалист для импорта прайс листа на сайт CSVI pro (джумла),Веб-программирование,Нет цены,нет заявок
Нaпиcaть cкpипт для caйта отпрaвкa звукoзапиcи на имэил,Веб-программирование,Нет цены,5 заявок
Наполнить группу Вконтакте контентом.,Редактирование и Корректура,$250,34 заявки
Специалист по наполнению сайта контентом,Рерайтинг,Нет цены,1 заявка
Размещение статей на сайте,Наполнение сайтов,Нет цены,29 заявок
